DATE;Levegő hőmérséklet;Talaj nedvesség 90 cm;Légnyomás;Levél nedvesség;Külső akkufeszültség;Csapadék;Szél lökés;Szél irány;Talaj nedvesség 30 cm;Belső akkufeszültség;Fagy;Szél sebesség;Levegő páratartalom;Talaj nedvesség 120 cm;Fény egység;Besugárzás;Napelem töltő feszültség;Talaj hőmérséklet 0 cm;Talaj nedvesség 60 cm;Csapadék Számláló
2021.01.01 0:00;4,1907797;14,261049;1004,94836;4,1666665;11,685817;0;5,22695;67,56837;20,964468;3,9087305;;0,6241135;89,54201;0;404,22916;33,274647;6,226618;5,1439714;18,245445;
2021.01.02 0:00;5,989362;12,222296;1007,4739;0;11,792124;0;8,464286;117,59377;19,317612;4,02182;;1,6714286;74,91476;0;239,3125;53,356644;6,3103137;4,9295754;16,723326;
2021.01.03 0:00;6,8148923;11,790756;1004,8432;1,048951;11,752204;0;7,347518;100,21336;18,385569;4,109946;;1,3829787;83,69956;0;210,01389;25,384615;6,204501;5,314186;16,463827;
2021.01.04 0:00;6,5368805;13,251386;1003,2564;7,1527777;11,689171;0,00606993;3,442857;121,61258;18,05438;4,1218534;;0,5714286;92,70737;0;328,8125;24,929577;5,962889;5,6014085;17,427292;
2021.01.05 0:00;4,867377;15,402899;1002,64453;4,3356643;11,574805;0;7,397163;18,007732;18,910692;4,1254635;;1,6666666;92,86845;0;504,47223;18,81119;5,943791;5,395457;18,791958;
2021.01.06 0:00;4,826951;12,192117;1003,4761;7,1328673;11,52723;0,001517483;5,0214286;93,215965;18,081837;4,1278543;;0,85;90,91425;0;457,63196;23,146852;6,069104;5,105635;16,647907;
2021.01.07 0:00;3,3425534;11,778942;1006,26587;6,1538463;11,717923;0;2,8285713;9,897068;17,5559;4,174931;;0,53571427;85,59566;0;448,1736;53,767605;6,3261876;4,347518;16,398836;
2021.01.08 0:00;1,5157142;11,37214;1006,6356;0;11,678384;0;4,4357142;231,62134;17,106316;4,1789722;;1,1;87,75656;0;206,17361;21,760563;6,230834;3,502127;16,132137;
2021.01.09 0:00;0,4304965;11,26327;1012,1927;3,3802817;11,867395;0;1,9285715;271,34393;16,710754;4,1872287;;0,32142857;87,06098;0;353,15277;55,80986;6,358535;2,422695;15,878941;
2021.01.10 0:00;-1,6142861;11,313059;1013,6898;0;11,771902;0;6,1285715;246,52667;16,390646;4,1768;;1,7928572;94,38388;0;384,66666;12,077465;6,051173;1,5141858;15,774284;
2021.01.11 0:00;-0,3907143;12,231951;1011,48395;6,4788733;11,650374;0,001517483;4,7642856;264,00308;16,237757;4,1651874;;1,3;91,33357;0;401,66666;17,816902;5,877202;1,4850018;16,490444;
2021.01.12 0:00;-0,2886524;12,910691;1007,5061;10,06993;11,546989;0;2,8920863;308,8772;16,497908;4,1432095;;0,25179857;92,006424;0;304,6736;19,788733;5,9340982;1,7758874;17,309492;
2021.01.13 0:00;1,1764286;12,070101;1003,40076;5,2112675;11,845272;0,001528169;8,785714;349,7368;16,390642;4,1839986;;2,3785715;77,44065;0;434,9375;73,30986;6,410305;1,5914892;16,37099;
